Category,Item,Score,
Inflow,We know the pattern of emergency admissions and schedule elective admissions around these (demand smoothing),3,
Inflow,"We know the number of expected emergency admissions tomorrow, and arrange to have the necessary number of beds available (day-ahead demand-capacity matching)",5,
Inflow,Our inpatient admissions have to wait in the emergency department until a ward discharge happens,-1,
Inflow,We have studied and improved our flow processes to eliminate low value or redundant steps,3,Give example
Inflow,We have identified our main bottlenecks and matched capacity with demand as much as possible,3,Give example
Inflow,"We identified the types of patients who have ED stays >8 hours and determined when these delays occur, which allowed us to improve our inflow processes",3,
Inflow,We have a standardized template (e.g. SBAR) for transmitting report from the ED to ward staff about new admissions,3,
Inflow,"We have an effective surge plan that addresses staffing, care space expansion and process modification when there is a surge of arriving patients",5,Give example
Inflow,We measure and report unit transfer time from admission order to ward transfer (ED length for admitted patients),3,
Access,Community physicians who need to refer patients for same-day or next-day specialty care can do so using our central triage-access process,5,
Access,Outpatients who are getting worse while waiting for our care should go to the emergency department,-2,
Overcapacity,"When there are more admitted patients than beds, each program/unit should have a surge plan to care for “extra” patients who require their care.",2,
Overcapacity,"When there are more admitted patients than beds, the emergency department should be responsible for these patients until an appropriate bed becomes available",-2,
Overcapacity,We have a supply driven overcapacity plan that allows a fixed number of overcapacity care spaces on inpatient units,1,
Overcapacity,We have a demand driven overcapacity plan that allows all emergent and urgent patients to enter the hospital. There are no set limits on overcapacity patients per unit,5,
Overcapacity,We have no overcapacity protocol. Inflow stops when our staffed beds are full.,0,
Consultation,"When we are consulted to admit a patient, the first assessment is usually by a medical student or resident who will discuss the case with a preceptor",0,
Consultation,"When we are consulted to admit a patient, the first assessment is by a high-level resident or attending physician (i.e. decision-maker) who can write the admission order",3,
Consultation,Our hospital has an effective process to resolve consultations that may have been directed to the “wrong service”.,3,
Consultation,We measure and report disposition time from consult to admission order,3,
Outflow,We estimate and post expected discharge date for all patients at the time of admission.,3,
Outflow,Many or most of our patients are on care pathways,3,
Outflow,Discharges are planned on a day-ahead basis and scheduled like airline departure times,5,
Outflow,Our lab and imaging departments expedite early morning testing for patients being discharged.,3,
Outflow,Our providers almost always enter discharge orders the day before or early on the day of discharge,5,
Outflow,Our providers often enter discharge orders late (i.e. on the afternoon of the planned discharge,-1,
Outflow,We have daily am bed meetings to identify discharges and to prioritize patients for these beds,3,
Outflow,"During surges, we add afternoon bed meetings to identify possible discharges and prioritize patients for these beds",3,
Outflow,We measure and report bed turnover intervals,3,
Outflow,We measure and report discharge times (ie. Average dedparture time or % before 11 am),3,
Outflow,"Our data show that we discharge patients on a 7-day basis, in roughly equal numbers by day",5,
Outflow,"We measure and report inpatient length of stay (LOS), including actual /expected LOS.",3,
Reverse Triage,We have processes that selectively redirect care to patients with the greatest need by reducing care for patients whose need and benefit have diminished (“reverse triaging”),5,
Reverse Triage,We track illness severity and treatment intensity regularly to assure patients still require hospital-based care.,4,
Reverse Triage,"We have escalation plans that expedite the movement of ALC patients to the community when it rises above X%. *These plans might involve transfers, repatriations, service agreements, flexible transition units, temporary capacity enhancement, community overcapacity spaces, discharge lounges, early discharge criteria, or other strategies). Give examples.",5, What is X? Give examples
